ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	residual	CID
22060301	30.173716	-90.782617	1.995	683.4	251.8	342.9	43.2	45.3	53.6	2022	6	3	2	52	31.32	-2.18	0	0	187	0	-9.0	0.025	1
22060302	30.165344	-90.798804	1.2	-875.9	-676.4	-452.2	37.1	49.1	43.7	2022	6	3	3	5	24.53	-3.23	0	0	95	0	-9.0	0.022	1
22060304	30.202258	-90.795394	4.335	-547.2	3415.8	2682.5	203.9	76.4	95.3	2022	6	3	3	8	51.45	-1.2	0	0	7	0	-9.0	0.031	1
22060305	30.166012	-90.772437	7.577	1663.8	-602.4	5925.3	155.7	148.5	82.1	2022	6	3	3	24	25.24	-0.44	0	0	14	0	-9.0	0.025	1
22060306	30.169629	-90.795394	4.905	-547.4	-201.3	3252.8	88.0	94.9	49.5	2022	6	3	3	28	4.31	-0.85	0	0	65	0	-9.0	0.024	1
22060307	30.182196	-90.795467	3.644	-553.8	1191.8	1991.6	64.9	57.5	45.4	2022	6	3	3	29	31.79	-1.48	0	0	44	0	-9.0	0.027	1
22060308	30.173641	-90.792537	1.546	-272.3	243.3	-105.9	36.1	28.7	40.6	2022	6	3	3	31	0.3	-2.12	0	0	127	0	-9.0	0.019	1
22060309	30.169421	-90.792244	1.3	-243.9	-224.5	-350.9	31.3	30.1	29.0	2022	6	3	3	31	59.39	-3.02	0	0	171	0	-9.0	0.025	1
22060311	30.175242	-90.765934	1.412	2290.6	420.9	-239.7	27.8	54.4	32.0	2022	6	3	3	36	35.19	-2.22	0	0	97	0	-9.0	0.026	1
22060312	30.166844	-90.786629	0.483	296.8	-510.3	-1169.0	34.9	45.1	47.5	2022	6	3	3	54	48.79	-2.97	0	0	56	0	-9.0	0.022	1
22061605	30.179897	-90.775366	2.12	1381.6	937.0	467.4	55.8	48.7	41.0	2022	6	16	22	39	47.72	-0.02	0	0	102	0	-9.0	0.021	1
22061607	30.18100	-90.794222	1.182	-434.3	1059.2	-469.8	42.1	43.9	39.1	2022	6	16	22	42	25.38	-1.04	0	0	62	0	-9.0	0.021	1
22061608	30.171812	-90.783146	0.568	632.2	40.7	-1084.3	43.2	48.9	42.4	2022	6	16	22	49	28.7	-2.86	0	0	29	0	-9.0	0.026	1
22061609	30.18443	-90.782202	2.955	723.2	1439.3	1303.1	45.6	44.8	50.4	2022	6	16	22	53	35.72	-1.06	0	0	101	0	-9.0	0.027	1
22061610	30.174406	-90.795972	0.505	-602.9	328.1	-1146.9	23.3	21.9	21.8	2022	6	16	23	27	37.64		0	0	78	0	-9.0	0.021	1
22061611	30.177596	-90.78243	2.231	701.8	681.9	578.7	33.5	29.1	57.8	2022	6	16	23	27	47.32	-1.24	0	0	245	0	-9.0	0.022	1
22061612	30.16639	-90.804989	1.204	-1471.6	-560.6	-448.5	41.3	49.6	34.0	2022	6	16	23	31	27.92	-1.57	0	0	68	0	-9.0	0.022	1
22061613	30.177079	-90.803768	0.859	-1353.6	624.6	-792.8	33.9	25.3	43.8	2022	6	16	23	34	10.08	-1.8	0	0	31	0	-9.0	0.022	1
22061614	30.16804	-90.779264	1.907	1006.7	-377.6	254.6	43.2	45.4	51.5	2022	6	16	23	44	19.08	-0.79	0	0	97	0	-9.0	0.027	1
22062703	30.180813	-90.788135	1.591	152.2	1038.5	-61.7	29.2	33.1	27.4	2022	6	27	21	34	11.36	-2.32	0	0	136	0	-9.0	0.023	1
22070504	30.159013	-90.796875	6.544	-690.1	-1378.3	4891.3	126.4	112.3	66.8	2022	7	5	18	15	8.88	0.03	0	0	21	0	-9.0	0.021	1
22070505	30.159005	-90.794946	1.056	-504.2	-1379.1	-595.9	42.4	42.4	53.9	2022	7	5	18	22	44.26	-2.38	0	0	25	0	-9.0	0.024	1
22070507	30.17654	-90.78986	0.409	-13.8	564.8	-1243.6	24.1	30.6	36.3	2022	7	5	18	24	57.84	-2.9	0	0	58	0	-9.0	0.025	1
22070508	30.172968	-90.800374	1.583	-1026.8	168.7	-69.6	70.6	57.4	55.7	2022	7	5	18	25	28.52	-1.74	0	0	35	0	-9.0	0.025	1
22070509	30.187044	-90.78929	3.184	41.0	1729.1	1532.2	42.4	51.0	37.3	2022	7	5	18	28	42.44	-1.3	0	0	125	0	-9.0	0.02	1
22070511	30.158162	-90.77867	0.071	1063.9	-1472.5	-1581.6	34.1	44.5	61.6	2022	7	5	18	49	2.16	-2.14	0	0	22	0	-9.0	0.021	1
22070512	30.179388	-90.790438	2.522	-69.7	880.4	869.9	52.5	65.5	49.9	2022	7	5	21	8	37.56	-1.41	0	0	120	0	-9.0	0.021	1
22071001	30.167234	-90.794165	0.051	-428.5	-466.8	-1600.9	72.6	80.1	151.3	2022	7	10	21	14	49.64	-0.11	0	0	2	0	-9.0	0.021	1
22071006	30.168699	-90.780916	2.315	847.2	-304.4	662.8	41.5	45.3	38.0	2022	7	10	22	8	37.52	-1.49	0	0	104	0	-9.0	0.024	1
22071007	30.181165	-90.774552	1.579	1460.6	1077.4	-72.8	52.5	51.2	45.4	2022	7	10	22	23	6.24	-1.91	0	0	82	0	-9.0	0.025	1
22071203	30.164457	-90.797909	1.463	-789.4	-774.7	-188.8	39.5	54.8	34.6	2022	7	12	2	1	6.73	-2.45	0	0	67	0	-9.0	0.025	1
22071204	30.175629	-90.782731	0.819	672.5	463.6	-833.3	33.4	39.2	62.6	2022	7	12	2	1	7.64	-2.44	0	0	26	0	-9.0	0.018	1
22071205	30.177214	-90.784285	0.931	522.5	639.4	-720.8	32.1	38.9	32.5	2022	7	12	2	4	1.92	-2.52	0	0	49	0	-9.0	0.021	1
